,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,PlayerID,Rookie_Season,Rookie_rOBA
0,1987,20,-0.9,Medford,NORW,A-,OAK,65,289,255,34,73,18,1,3,49,5,2,26,36,.286,.344,.400,.744,102,,0,1,7,0,brosisc01,1992.0,0.322
1,1988,21,-0.8,Madison,MIDW,A,OAK,132,571,504,82,153,28,2,9,58,13,12,56,67,.304,.374,.421,.795,212,,3,4,4,1,brosisc01,1992.0,0.322
2,1989,22,-1.3,Huntsville,SOUL,AA,OAK,128,536,461,68,125,22,2,7,60,4,6,58,62,.271,.355,.373,.728,172,,5,6,6,3,brosisc01,1992.0,0.322
4,1990,23,-2.9,Tacoma,PCL,AAA,OAK,3,8,7,2,1,0,1,0,0,0,0,1,3,.143,.250,.429,.679,3,,0,0,0,0,brosisc01,1992.0,0.322
5,1990,23,-0.5,Huntsville,SOUL,AA,OAK,142,645,547,94,162,39,2,23,88,12,3,81,81,.296,.382,.501,.883,274,,1,7,9,2,brosisc01,1992.0,0.322
6,1991,24,-1.8,Tacoma,PCL,AAA,OAK,65,268,245,28,70,16,3,8,31,4,2,18,29,.286,.337,.473,.811,116,7,2,1,2,0,brosisc01,1992.0,0.322
0,1981,18,-2.2,Billings,PION,Rk,CIN,66,266,241,37,76,7,2,3,29,6,3,21,35,.315,.367,.398,.766,96,,0,2,2,2,o'neipa01,1987.0,0.354
1,1982,19,-2.6,Cedar Rapids,MIDW,A,CIN,116,412,386,50,105,19,2,8,71,12,5,21,79,.272,.308,.394,.702,152,,1,0,4,0,o'neipa01,1987.0,0.354
3,1983,20,-3.0,Waterbury,EL,AA,CIN,14,49,43,6,12,0,0,0,6,2,1,6,8,.279,.367,.279,.646,12,,0,0,0,0,o'neipa01,1987.0,0.354
4,1983,20,-2.0,Tampa,FLOR,A,CIN,121,472,413,62,115,23,7,8,51,20,5,56,70,.278,.363,.426,.789,176,,0,1,2,7,o'neipa01,1987.0,0.354
5,1984,21,-2.1,Vermont,EL,AA,CIN,134,536,475,70,126,31,5,16,76,29,11,52,72,.265,.336,.453,.788,215,,2,0,7,6,o'neipa01,1987.0,0.354
6,1985,22,-4.0,Denver,AA,AAA,CIN,137,545,509,63,155,32,3,7,74,5,7,28,73,.305,.338,.420,.759,214,,1,1,6,4,o'neipa01,1987.0,0.354
8,1986,23,-3.0,Denver,AA,AAA,CIN,55,206,193,20,49,9,2,5,27,1,1,9,28,.254,.291,.399,.690,77,,2,0,2,3,o'neipa01,1987.0,0.354
0,1990,20,0.5,Elizabethton,APPY,Rk,MIN,54,250,201,45,59,6,2,6,30,14,4,40,26,.294,.422,.433,.855,87,,6,1,2,1,hockide01,1996.0,0.239
1,1991,21,-0.4,Kenosha,MIDW,A,MIN,125,522,432,72,110,17,8,2,36,22,10,77,69,.255,.372,.345,.717,149,6,6,3,4,4,hockide01,1996.0,0.239
2,1992,22,-0.5,Visalia,CALL,A+,MIN,135,634,550,117,182,34,9,7,81,38,18,72,77,.331,.415,.464,.878,255,7,8,2,2,1,hockide01,1996.0,0.239
